Age,Gender,Education_Level,Years_of_Experience,Workload,Leadership_Style,Compensation,Organizational_Support,Conscientiousness,Emotional_Resilience,Stress_Levels,Emotion_Focused_Coping,Job_Satisfaction,Productivity,Attendance,Attrition
19,Female,PhD,30,36,Authoritarian,46535,Low,1.305209817,1.854269201,3.030546891,3.809353736,4.369830911,83.38369755,94.32574265,1
37,Male,Bachelor's,1,59,Authoritarian,96490,Moderate,3.930800735,1.042689151,4.231862757,2.116340545,2.863775804,51.31284094,92.55365627,1
45,Female,High School,39,38,Supportive,76562,Low,3.467539024,4.106229887,2.472342551,3.317518909,1.373815651,68.83693727,98.84417975,1
24,Female,High School,17,34,Supportive,149042,Low,1.011646871,4.286597336,1.500312907,1.809108724,3.82727778,84.79441788,91.12554507,1
25,Male,High School,20,28,Authoritarian,119080,Moderate,1.037679424,1.237920652,1.165997218,2.0809955,2.95716063,62.62975466,96.79740558,0
52,Male,High School,24,29,Authoritarian,88535,High,4.235171893,3.443630089,2.126038483,3.018564224,1.763795436,97.88520535,92.60283197,1
31,Female,PhD,22,50,Supportive,128991,High,2.037598955,2.512827135,1.976934801,4.902277853,1.062689496,51.50806858,94.7557741,1
34,Female,Bachelor's,29,42,Authoritarian,71269,Moderate,3.544534671,4.175582621,3.241407896,3.465081957,2.671993039,97.90435938,92.9941278,0
53,Male,Master's,22,49,Supportive,110674,Low,2.816857679,4.497658217,1.086955352,4.744592418,1.342516923,60.8381934,93.23245317,1
57,Male,Bachelor's,9,52,Supportive,72462,Low,4.453720058,4.404015067,3.082282177,4.837519418,1.376678793,52.4411021,92.60393014,1
21,Female,High School,37,28,Authoritarian,33127,Moderate,4.667844452,4.108816989,2.567086968,1.832439986,2.069318193,64.62370166,97.52792921,1
19,Male,Bachelor's,10,20,Authoritarian,53147,High,4.987230851,2.076208915,3.30848908,2.24477441,3.521833189,89.31411536,93.65715857,0
23,Male,High School,36,54,Supportive,75528,High,1.614736543,4.247558574,3.809670113,4.079969125,3.119642434,87.62210032,97.26357018,0
59,Female,Bachelor's,37,30,Authoritarian,107095,Moderate,4.451856186,3.133913904,3.53636778,4.467056009,1.275949233,60.44202082,94.5606993,1
21,Male,PhD,28,53,Authoritarian,143100,Moderate,2.064085507,1.211026459,4.938577477,3.076906977,4.873725104,59.83950668,95.47246042,1
46,Male,Bachelor's,28,35,Authoritarian,98931,Low,3.3632635,2.8277554,1.553061376,4.972904269,4.548674753,82.12899579,95.43287476,1
35,Male,Bachelor's,21,28,Authoritarian,120925,Low,3.023091335,4.768631668,2.718948036,1.046288795,2.036901949,72.90413448,99.75852079,1
43,Male,High School,24,51,Authoritarian,96381,Moderate,1.071952526,4.551437399,2.699322947,2.198370622,1.489354304,89.61449767,93.67062456,1
51,Male,High School,2,34,Supportive,129468,Low,4.73108512,1.409057124,2.668212815,3.492647015,4.769611459,51.20663893,92.07684095,1
27,Female,High School,8,31,Supportive,141258,Moderate,1.313308221,3.976506743,3.655193568,2.877159644,2.844567112,80.52059304,99.1179194,0
53,Male,Bachelor's,27,52,Supportive,93749,High,3.752875678,4.223171464,2.959312242,1.466411866,2.244667859,86.53360061,91.74839289,0
31,Male,High School,22,33,Supportive,68672,Moderate,4.140027345,2.085552753,3.069730239,2.471148342,2.961432141,99.6693056,98.34422846,0
48,Male,Bachelor's,37,27,Authoritarian,43731,Low,4.181151396,2.886434283,2.729423969,1.101788573,4.090976578,83.93908471,91.50214895,1
32,Male,Bachelor's,27,27,Authoritarian,84512,Low,1.541978076,3.843951766,4.966797844,3.570984184,1.673541193,61.59225783,96.58724334,1
25,Female,Bachelor's,29,46,Supportive,128658,Moderate,2.790279802,2.756165955,4.710245395,4.570970172,4.069983334,55.40930974,91.50540813,1
31,Male,High School,3,31,Supportive,81024,Moderate,4.317715482,1.451187675,2.230896757,4.539496495,3.997787152,82.04583873,99.23085819,0
40,Male,High School,13,20,Supportive,146712,Moderate,2.210716842,3.823529779,1.446375699,3.798177895,3.157392819,76.15915338,95.65008283,0
57,Female,PhD,10,59,Supportive,131121,Moderate,2.870994701,4.646554759,4.359058896,2.863080782,4.463369155,94.95726442,93.29273839,1
38,Male,Bachelor's,36,30,Authoritarian,33832,Moderate,2.091175571,3.609938914,4.988681006,3.048126475,1.528573513,86.33040106,91.40322775,1
33,Male,Bachelor's,9,58,Supportive,62332,High,2.854205672,4.095202994,2.170435576,1.547675296,3.381916027,75.4871225,93.71192236,0
35,Male,High School,27,50,Authoritarian,42467,Moderate,4.55135169,2.433450143,2.431139703,2.364068372,2.79737221,70.17947354,97.05020035,1
41,Male,PhD,34,36,Democratic,71025,High,2.820496924,1.732792981,4.766532726,1.750912302,2.689168451,70.21873498,93.84950884,1
43,Male,Bachelor's,1,52,Supportive,43107,Moderate,3.223648068,3.571094646,3.844518072,4.284800813,2.010244285,61.31521431,92.46094136,1
42,Male,Bachelor's,32,51,Supportive,107994,Low,2.615905133,2.311084823,2.182553327,4.659015605,2.489118627,50.86629859,95.77409448,1
58,Female,Master's,25,48,Supportive,124202,Moderate,2.840468733,4.440294076,3.324185965,3.147693046,1.432603024,78.74552941,94.17821853,1
46,Male,High School,29,40,Authoritarian,73481,Moderate,1.060696796,1.4905122,4.776918317,3.911056162,2.006395879,60.62073663,91.65806236,1
32,Male,Bachelor's,7,40,Authoritarian,32581,High,2.13498204,2.733854799,4.247252428,1.485859084,2.087860431,60.41634589,91.5398799,1
18,Female,Bachelor's,3,59,Supportive,105118,High,2.746326887,2.586910402,3.967330855,3.434138573,3.88267147,56.26906143,97.0746199,0
42,Male,High School,20,42,Authoritarian,81638,High,3.535187904,4.752215414,3.947985247,3.811164086,1.194201709,59.47977451,99.74671896,1
24,Female,PhD,20,25,Democratic,38418,High,2.800207722,1.612539202,1.712081297,2.811072518,3.604769233,51.58945748,92.33094071,1
26,Male,Master's,30,41,Supportive,123627,Moderate,2.351268173,1.0393873,4.298724957,1.973092338,1.885639639,83.71157249,97.73148601,1
41,Male,Bachelor's,35,57,Supportive,59113,Moderate,2.552394941,1.952340851,2.10447453,4.509498082,1.327446024,70.06985582,90.87606702,1
18,Female,High School,35,56,Democratic,114363,Moderate,1.969173317,4.281107439,4.721466632,3.97163488,2.203224644,78.07622994,93.81575919,1
25,Male,High School,39,27,Authoritarian,93044,High,4.697977131,1.837287264,2.458559964,4.599429127,1.897891478,81.8478809,95.06688153,1
41,Male,Bachelor's,27,54,Democratic,109955,High,3.086972903,1.963512255,4.430641588,4.27361059,3.208129503,98.62422811,92.68746945,1
28,Male,Master's,26,30,Authoritarian,91030,Low,1.053637815,1.519595218,2.064933978,4.961497718,2.429505614,53.41329329,95.29578417,1
34,Male,High School,14,43,Democratic,41814,High,1.077785034,3.861744813,3.058107746,1.768690933,4.86397497,70.89588424,98.82614428,1
25,Female,Bachelor's,17,40,Supportive,129340,Low,4.89184654,1.276696762,1.427541182,1.346991071,4.854198398,62.29489668,99.44437962,1
52,Male,Master's,18,21,Authoritarian,40024,Moderate,1.885803565,2.324833209,3.640475612,2.348011165,2.774861076,73.83559659,91.00556954,1
52,Male,High School,29,59,Democratic,93288,Low,4.222433155,2.129994906,4.344317101,1.5160167,4.180349843,96.02361503,92.71845934,1
50,Male,Bachelor's,20,38,Authoritarian,139236,Moderate,1.233101206,3.220638919,3.873789125,3.092520452,1.053074163,86.19921326,99.79133918,1
22,Female,High School,27,58,Supportive,87836,High,4.684650947,3.92166506,3.093034052,3.532115622,3.191246339,83.09747932,92.7041841,0
59,Male,PhD,18,47,Supportive,37435,Low,4.497668015,3.131505739,1.180463514,3.313154461,3.973196689,72.06229382,96.92707351,1
56,Female,Bachelor's,4,36,Supportive,97084,Low,3.28437265,4.724103972,4.733764029,2.036960542,1.867772902,83.55562492,92.53453694,1
58,Male,High School,1,25,Supportive,100601,Low,1.035994629,4.805770556,3.821958194,4.635296124,1.244687021,51.61876886,93.56365593,1
45,Female,Bachelor's,1,38,Supportive,118416,Moderate,2.031243496,2.445861314,3.983456953,1.084689455,1.623675744,79.3119336,91.91278988,1
24,Female,Bachelor's,26,57,Authoritarian,148645,Moderate,2.62729059,4.110721505,4.178722302,2.392053415,2.767392349,77.68882813,98.56300194,1
26,Female,Master's,20,47,Authoritarian,33407,Low,2.840256467,3.955205533,3.990973704,3.875969902,3.025485683,67.3320216,98.82648764,1
25,Female,Master's,23,21,Supportive,128943,Low,2.190715034,4.571858367,2.764464656,4.067715705,2.523540488,60.07570627,92.96912508,1
29,Male,Bachelor's,10,57,Authoritarian,62940,Moderate,1.131791473,2.791774561,3.934487317,2.664474178,2.759895068,90.37777755,98.23589824,0
51,Male,High School,11,56,Supportive,35666,Low,3.360509624,3.121892749,3.500107151,1.067639253,2.880939838,52.69310572,93.5824165,1
50,Male,High School,5,23,Supportive,67122,High,3.096618671,2.663097254,4.416065335,3.472174716,4.077746646,53.48364322,90.99019423,1
40,Male,High School,1,41,Supportive,148647,Low,2.132002542,4.401507677,4.209839261,1.252378725,1.420967592,72.0260872,97.58076397,1
41,Male,Bachelor's,17,45,Authoritarian,55092,Moderate,1.15190387,1.918809261,1.16549753,1.431423105,4.075801869,62.62772737,95.96446249,0
54,Male,Master's,22,55,Supportive,105645,Low,4.978376749,1.958836313,2.515548361,3.601002879,3.754509209,87.27262068,92.74382444,1
52,Male,Bachelor's,34,32,Supportive,131190,Moderate,2.927944747,2.490420414,1.138864609,2.249953305,3.966643238,81.70950385,92.52999741,0
57,Male,High School,29,51,Supportive,130468,Low,4.024016967,1.921371328,1.408299699,2.392120611,3.937873544,88.62673981,99.7562337,1
39,Female,Bachelor's,4,36,Democratic,56505,High,2.80925614,3.244027346,3.405642888,2.947228308,2.882367263,66.23394782,98.62501041,0
44,Male,Master's,5,55,Supportive,66713,High,1.172681163,1.537960426,4.495287285,4.914313579,1.845600738,87.02594698,98.09798329,1
52,Female,Master's,11,38,Authoritarian,84387,High,2.23840298,2.280744878,1.479299035,4.861768883,3.146515617,93.1151618,91.28017709,0
18,Female,Master's,21,54,Authoritarian,73169,Moderate,2.280440564,4.653778794,2.80435715,2.665043997,4.831928214,67.26372472,97.55187274,0
52,Female,High School,35,59,Authoritarian,103282,Moderate,4.353411616,2.636901921,4.643515619,2.061996869,3.354102726,66.99479106,92.14540221,1
54,Female,High School,12,47,Democratic,107511,High,3.616919912,3.992934866,4.257203935,2.210368611,1.044188581,94.9975702,99.77388943,1
31,Female,Master's,26,20,Supportive,81742,Moderate,2.101719615,1.453848767,3.078671586,2.075125193,1.23884362,52.48951266,90.52089188,1
20,Female,Bachelor's,19,37,Supportive,70522,Low,4.870959819,1.990258033,4.086285757,3.128983229,4.971453734,67.50947029,93.52138484,1
18,Female,Bachelor's,7,59,Democratic,111132,High,2.28616733,4.229382485,3.090775096,3.427439231,1.287785437,55.9336246,94.28647841,1
22,Male,Master's,7,52,Supportive,149622,Moderate,4.992936103,4.051971745,1.632369349,2.955117553,1.18418064,51.44902951,98.24202912,1
43,Male,Master's,26,31,Authoritarian,148764,Low,4.984654773,2.544623674,1.498944453,2.631977449,2.412097077,55.64347088,97.66222818,1
31,Male,Bachelor's,5,27,Authoritarian,133489,Low,1.764842071,4.817587608,1.753472928,1.84514015,4.877268813,71.56228956,93.74992145,1
56,Male,Bachelor's,21,43,Authoritarian,129397,Low,2.250964465,4.642572063,2.40368838,2.930022366,2.274700615,84.34780346,95.65560293,1
44,Female,Bachelor's,14,35,Democratic,33880,Moderate,2.944176794,4.849202996,4.722117071,2.364410855,2.639536524,64.46412122,98.35595164,1
26,Female,Bachelor's,4,23,Democratic,73454,Low,3.656402685,2.711658761,4.198713655,3.166381851,3.536308245,92.48376537,90.18199592,1
32,Female,Bachelor's,23,57,Authoritarian,85711,Low,3.112189796,1.789894335,2.731206245,3.700757662,1.096447357,71.88078144,98.021781,1
32,Male,Master's,20,46,Supportive,73539,Low,4.877765877,3.506634556,2.972306839,3.533248698,4.59105431,98.41140255,99.46896025,1
43,Female,Master's,15,28,Democratic,138984,Moderate,3.895956657,3.739092633,2.062437831,2.849960842,3.07777207,97.70778347,90.32064521,0
59,Female,Master's,29,35,Supportive,98321,High,1.848179398,1.501767138,3.817411826,3.224209697,2.867243624,88.66381113,90.45580987,0
30,Female,High School,8,31,Supportive,117985,Moderate,1.420390201,4.145932137,4.211062686,2.139424524,4.442906649,96.62027481,93.44514006,1
49,Female,Master's,19,50,Democratic,44799,Low,3.753605163,1.072240879,1.955618783,1.096961036,4.812306357,85.35480381,90.87769564,1
56,Female,Master's,39,43,Supportive,144584,Low,1.633809761,2.93091355,1.167286495,3.500077817,2.693700927,94.7791595,94.7927608,1
49,Male,Bachelor's,28,33,Supportive,134843,High,4.150707361,2.324065038,3.495555773,2.010274237,1.689764317,61.82368587,97.28710685,1
21,Female,Master's,27,44,Supportive,90102,Moderate,2.244146669,3.96121224,3.250048477,3.67581484,4.26283708,67.27101001,95.66899235,0
47,Male,Master's,4,53,Democratic,80726,Moderate,2.307573052,2.25104291,2.60852462,3.988033998,2.613041685,87.6465033,91.96431909,0
54,Male,Bachelor's,15,22,Authoritarian,78784,Low,1.04319357,4.307228451,3.575575767,4.663710984,4.742182158,71.22806191,96.548113,1
40,Female,Bachelor's,35,43,Authoritarian,143034,High,3.804045068,3.379813955,3.202453192,4.832491182,4.799595935,91.86637169,96.84854479,0
56,Male,High School,37,28,Supportive,73333,Moderate,1.453079012,4.175573447,2.002326306,1.042104185,1.459316127,93.88194358,99.32445956,1
32,Female,Bachelor's,1,45,Authoritarian,70828,Low,4.09152231,4.957362551,2.590915902,4.961496837,4.826215869,64.98647424,91.46796897,1
46,Male,Bachelor's,3,39,Authoritarian,99526,Low,2.967471288,3.716633383,2.712454279,3.732073274,2.473081302,91.17254041,96.92336165,1
53,Female,Master's,24,59,Supportive,84362,Moderate,4.13711926,4.939801265,4.520991978,3.574096641,3.585010071,57.71321355,99.11427219,1
30,Male,High School,27,29,Supportive,83997,High,3.335706157,1.115345308,4.843616617,1.060852381,1.139000327,66.70983558,95.01564153,1
49,Female,High School,36,38,Supportive,80341,High,1.329733088,2.352559954,4.57200545,4.444933648,4.555537096,75.89824756,93.6179968,1
24,Female,Bachelor's,34,22,Democratic,49073,Moderate,4.062609347,1.431413058,3.876712096,1.581965789,3.566389317,61.32218811,91.70749494,1
39,Male,High School,29,43,Authoritarian,132399,High,1.27919794,2.049219726,3.339970934,4.349320616,3.574217868,78.96339148,98.66786886,0
45,Male,High School,24,24,Democratic,44549,Low,2.914806882,4.355551597,3.757046542,1.062250185,4.60870464,78.93475394,93.94246375,1
19,Female,High School,24,22,Supportive,113795,Moderate,1.689396857,1.129293061,4.756436883,3.58385705,3.0333887,60.34514474,99.24882443,1
59,Male,High School,4,46,Authoritarian,86920,Moderate,4.009340712,3.080731743,1.999994941,2.739206135,2.642066561,89.78206724,98.47758298,0
23,Male,High School,3,35,Authoritarian,115326,Low,4.646364911,3.26851483,3.140482031,1.803066916,4.464515009,81.58222447,93.76639852,1
45,Male,Bachelor's,34,34,Authoritarian,105515,High,3.216504653,3.244604587,3.758432076,1.430245567,3.969682047,65.88802534,95.73914309,0
45,Male,Bachelor's,23,54,Democratic,50316,Low,3.108589177,2.901188295,3.716988005,2.760510786,4.79590266,61.60923917,90.27174036,1
37,Female,Master's,23,31,Supportive,56183,Moderate,4.055852785,4.162411859,2.009115838,1.493223221,4.760487573,93.93750694,92.63221403,0
47,Female,Bachelor's,5,45,Supportive,123860,Moderate,1.020315252,1.534172358,3.34692611,2.945786447,2.529304658,91.78711226,97.10272849,0
28,Male,Master's,31,53,Authoritarian,54624,Moderate,4.671034571,2.242308062,4.18365257,3.500868235,2.787945161,61.48803374,96.77910946,1
45,Male,High School,6,42,Authoritarian,92515,Moderate,1.789795268,3.462904214,2.90031592,4.309536774,2.023939815,51.78026133,93.5336946,0
42,Female,High School,37,50,Authoritarian,133712,Low,4.936475535,3.763805465,4.173192307,3.714597749,3.642591557,90.22662979,98.08608032,1
56,Male,Master's,10,39,Supportive,115781,High,3.945015792,2.616593727,2.439530391,1.260799067,2.45816788,80.77542776,92.35836052,0
50,Male,High School,7,31,Authoritarian,76705,Moderate,4.097004591,4.501485053,4.755040509,2.22973013,4.144402586,55.0441014,94.61270533,1
18,Female,Bachelor's,39,42,Supportive,119326,Moderate,3.624811921,2.661973587,3.135713762,2.151914432,1.486203043,79.36791031,94.72530635,1
44,Female,Bachelor's,38,23,Supportive,56756,High,2.886652731,2.611104537,3.383791803,4.660129694,1.465611405,72.60913427,93.40816769,1
30,Female,Bachelor's,21,42,Authoritarian,90390,High,3.286510773,1.144829046,1.125446275,4.471128178,1.817821526,88.72751637,99.54666101,1
58,Female,High School,20,20,Authoritarian,98369,Low,1.185611544,3.204565345,1.681076549,2.480591673,1.337168754,60.45424211,96.96684034,1
20,Male,Bachelor's,3,44,Supportive,100821,High,3.495838038,3.834723354,3.531735522,1.284621024,3.480126431,72.65783722,95.39199335,0
56,Female,Bachelor's,22,21,Supportive,39589,Low,3.504392408,1.457752654,2.679481487,4.576429271,1.589411064,57.81220571,95.10515093,1
23,Male,High School,4,49,Supportive,143012,Low,4.56480319,2.221731064,3.032655162,4.552759812,1.63985167,97.87636139,91.59296092,1
25,Male,Bachelor's,28,22,Supportive,44116,Moderate,3.02262543,4.125027815,1.251885635,4.418984528,1.056912895,88.93690785,93.72186897,1
44,Male,Master's,12,40,Authoritarian,103181,High,1.308577496,2.463677742,4.336540954,4.380326551,4.128360058,86.83612133,96.72773315,1
26,Male,PhD,38,44,Democratic,74786,Low,2.224783682,1.966409848,4.138022409,2.921016004,4.249184222,84.51033325,99.2457022,1
54,Female,High School,36,39,Supportive,124686,Moderate,3.622517648,3.688802654,1.741415903,1.709726609,1.648089665,71.16682212,98.16464059,1
50,Male,Master's,5,41,Authoritarian,106425,Low,1.957035451,1.787035111,3.537317429,2.909952202,3.958097737,96.16412079,93.00389804,1
59,Male,Bachelor's,13,40,Democratic,60286,High,2.122111287,4.582611678,4.273260847,2.978391083,2.734180493,53.6458506,94.33956626,1
41,Male,Bachelor's,23,52,Democratic,133081,Moderate,4.281876065,1.422393584,3.563416546,2.959727013,1.958379532,90.16295358,90.82917521,1
32,Male,High School,30,57,Supportive,45994,Moderate,3.337278927,3.826199209,2.241592381,3.155090344,3.485538432,60.76163661,91.02172323,1
49,Female,Master's,37,34,Democratic,131039,Low,3.034109727,2.998194805,3.624444602,2.030628092,1.713936297,66.20139778,94.70230387,1
49,Male,High School,25,34,Supportive,141915,High,2.273807867,4.47971825,1.841846991,2.464964725,4.027534431,75.97148645,95.30219407,0
41,Female,Bachelor's,27,44,Supportive,120198,High,3.923712144,1.504780364,2.273019989,2.736746368,1.19046091,89.13275055,92.64027096,1
58,Male,High School,14,40,Supportive,134672,Moderate,2.150873738,3.711579674,1.960278612,1.524484838,4.836523732,91.92674538,96.42782689,0
29,Male,Master's,36,43,Supportive,56639,Moderate,3.948254071,3.288218557,3.22770041,2.821456538,1.287501015,79.18661251,97.03380686,1
56,Female,Master's,39,24,Supportive,47205,High,1.280405921,2.920360569,1.432906587,4.241878468,3.317793677,70.15177445,92.99116132,1
19,Male,Master's,16,25,Supportive,86677,Low,4.458165366,2.965629054,4.733241521,4.312238171,4.60877716,97.32512107,97.58424726,1
20,Female,High School,22,42,Supportive,62930,High,2.998265854,3.887907847,2.334049415,2.646255088,1.047617875,62.32606479,92.05604919,1
54,Male,High School,21,23,Democratic,103313,High,2.754032067,4.75096662,1.875880508,3.075233248,2.994057844,90.15472879,95.44251377,0
34,Male,Bachelor's,21,46,Democratic,123851,Low,3.444093646,1.365006636,2.986199254,1.134601329,2.400027857,80.60248107,98.04281094,1
19,Female,Bachelor's,8,37,Supportive,143153,Moderate,3.496768292,1.07801059,2.107991274,3.697730226,3.321328761,68.84475084,95.37009086,0
19,Male,High School,16,40,Democratic,122509,Low,1.528140708,4.22281917,3.139616346,2.618423532,1.901829547,50.06839922,99.07962719,1
45,Male,Bachelor's,31,47,Democratic,48316,Moderate,4.024934359,1.43267755,2.394036599,2.781910732,1.259596869,72.32996507,90.58501233,1
40,Female,PhD,10,54,Authoritarian,57304,Moderate,2.103713192,4.946787184,1.528267243,4.494690909,3.503732147,63.83599988,95.88313845,0
54,Male,Master's,32,41,Supportive,131839,Moderate,4.619847521,3.477392996,2.063580968,2.847337738,2.667396958,55.21733067,95.61755453,0
49,Female,Master's,34,59,Authoritarian,126058,Moderate,4.271402654,3.603465581,2.75375938,1.084768985,3.489942155,53.75792827,96.60353329,0
50,Male,PhD,9,42,Democratic,117876,Low,2.385064166,1.795566812,1.121172906,1.909963563,1.842156587,67.37791637,98.33406839,1
18,Female,High School,17,22,Authoritarian,115366,Moderate,4.230957173,1.961249241,4.082570108,2.902482457,2.354965052,80.73786944,97.25853084,1
36,Female,Bachelor's,11,59,Supportive,43403,Low,2.425561997,3.637401212,3.487298258,2.697585171,3.246725557,91.87596577,97.90282735,1
19,Female,PhD,32,29,Authoritarian,110052,High,1.403790727,4.638907352,3.405438429,4.441480549,3.372451113,59.17816225,92.88816726,0
43,Female,High School,10,44,Authoritarian,147478,Low,4.847552955,4.929562218,3.184199728,3.168550037,2.489259231,71.23219857,93.87497379,1
49,Male,Master's,22,27,Authoritarian,114627,High,3.610408061,1.792123787,3.361252689,3.758542968,2.120212822,69.59780701,96.26776974,0
23,Female,Bachelor's,17,30,Supportive,103495,Moderate,2.824398107,1.536478491,4.738607811,2.877293188,2.094802518,75.66970046,95.53461472,1
49,Male,Bachelor's,4,24,Supportive,61932,Moderate,2.591093406,1.225605431,1.034276843,2.758622936,1.698797406,90.47936354,99.61103875,1
